,namespace,Semana,Porcentagem de visualização de relatórios de AA
774,colegioecursoprogressao,27,0.6154553817847286
775,colegioecursoprogressao,28,0.4672131147540984
776,colegioecursoprogressao,30,0.4723618090452261
777,colegioecursoprogressao,31,0.4486396446418656
778,colegioecursoprogressao,32,0.5922069197178368
779,colegioecursoprogressao,33,0.6611074049366245
780,colegioecursoprogressao,34,0.6980108499095841
781,colegioecursoprogressao,35,0.32941176470588235
782,colegioeducallis,23,0.7364505844845909
783,colegioeducallis,24,0.7142857142857143
784,colegioeducallis,25,0.6815476190476191
785,colegioeducallis,30,0.0
786,colegioeducallis,31,0.6536312849162011
787,colegioeducallis,32,0.6984126984126984
788,colegioeducallis,33,0.1504297994269341
789,colegioeducallis,34,0.02040816326530612
790,colegioeducallis,35,0.04477611940298507
791,colegioensitec,23,0.7964601769911505
792,colegioensitec,24,0.7696335078534031
793,colegioensitec,25,0.7064676616915423
794,colegioensitec,28,0.5809128630705395
795,colegioensitec,29,0.7851063829787234
796,colegioensitec,30,0.6689944134078212
797,colegioensitec,31,0.6272321428571429
798,colegioensitec,32,0.35526315789473684
